fid,ID,FEATCODE,layer,area,BUA22NM
62,6535EE55-8AB0-411A-864F-370612116383,25612,SJ_Foreshore,82,Telford
63,BF737C67-606B-4803-A3A3-0DB498DB5E7F,25612,SD_Foreshore,110,Blackburn (Blackburn with Darwen)
64,7685C9AB-5B20-449F-8247-63077FCAF6EF,25612,TF_Foreshore,44287,King's Lynn
65,4CAAA014-A705-404B-9350-A8B1E292960A,25612,TL_Foreshore,467352,Maldon
66,FDEDA13C-148E-49A4-9FDC-407680F29776,25612,SS_Foreshore,24585,Swansea
67,CE9DCA53-3E0E-42E5-9066-FC3921A928E9,25612,SE_Foreshore,75,Dewsbury
68,6E89673A-B834-450F-8D0F-972110C8FA2C,25612,TA_Foreshore,99336,North Killingholme
69,AB7E6BC8-3732-43B3-A758-D6F25971F4AD,25612,NZ_Foreshore,157043,Middlesbrough
70,1A8457A9-B837-44C3-9EBC-6F0820E32410,25612,SD_Foreshore,43658,Lancaster
71,2553F61A-7FDA-4C70-9DF4-73EA241F3234,25612,NS_Foreshore,6931,Falkirk
72,43132CF1-1BC6-41D9-B593-F361051A43DA,25612,NS_Foreshore,562677,Ayr
73,112445F9-C685-4C2A-B36E-40BA09C52EFB,25612,NO_Foreshore,21857,Arbroath
74,C4185FC5-BC6E-4D08-82A0-B62F207932E9,25612,SU_Foreshore,460933,Bognor Regis
75,29542E26-4C07-4682-8DFD-FA1D4BE85D23,25612,NZ_Foreshore,220505,Tynemouth
76,13C7EF1D-8881-4ECF-BC0A-524BBA9E85D2,25612,TQ_Foreshore,17260,Maidstone
77,8B7DEE47-B41C-4612-9EC6-A9EFEDD47F71,25612,SK_Foreshore,5,Leicester
78,CF373DC4-2FC3-4C1C-BAC6-DACA0210F043,25612,NT_Foreshore,94691,Edinburgh
79,E4FC15D1-4B41-4BE5-9FDB-2756B31C8AB3,25612,NS_Foreshore,47,Hamilton
80,3ECC8AEB-1161-4394-BA6D-07728F0AF847,25612,TQ_Foreshore,64053,Lewisham
81,8745BE36-6A83-458A-AAB6-755220D4370E,25612,SU_Foreshore,480631,Southampton
82,DC1D2DA4-9655-454E-8932-735ABA814957,25612,TQ_Foreshore,196244,Havering
83,274CD850-80B0-4B2E-91B9-8DFA711EC440,25612,SJ_Foreshore,24050,Widnes
