"name","Deciduous woodland","Coniferous woodland","Arable","Improved grassland","Neutral grassland","Calacareous grassland","Acid grassland","Fen","Heather","Heather grassland","Bog","Inland rock","Saltwater","Freshwater","Supralittoral rock","Supralittoral sediment","Littoral rock","Littoral sediment","Saltmarsh","Urban","Suburban","total_ceh","surface_water_area","foreshore_area","tidal_water_area","original_bua_area","200m_buff_area","class","population_counts","long","lat","imdd_weight_av","country","lc_lu_total"
"Bath",4427267.873,50588.76979,1029555.435,8460005.079,0,35565.10221,34030.00975,1400.16869,3205.747368,0,0,41100.39451,0,58188.50025,0,0,0,0,0,1249313.858,18960825.11,34351046.047568,360682,1,0,22838466,34711729,"inland",94080,51.38158308,-2.366003129,8.15008351,"england",34711729.047568
"Bathgate",1970242.93,14135.02227,1432961.089,2845128.185,300.1628555,0,1000.546684,19073.99392,33689.42395,63846.40997,36503.67791,30383.29924,0,1431.87851,0,0,0,0,0,1408420.219,5790928.988,13648045.8263095,138753,0,0,8675941,13786799,"inland",23530,55.8956559,-3.638586809,5.78999313,"scotland",13786798.8263095
"Batley",1505234.389,0,372239.6076,3395184.677,0,13919.5785,2401.876774,0,4657.087132,56046.62267,0,0,0,11406.75113,0,0,0,0,0,3049031.903,8386420.812,16796543.304806,28781,0,0,10518242,16825324,"inland",44500,53.71881112,-1.639161853,3.46590628,"england",16825324.304806
"Beaconsfield",1898316.625,104327.5297,587366.7704,2278921.818,130.1713338,9304.535801,0,1400.804623,41134.51825,1898.661825,0,0,0,23678.44857,0,0,0,0,0,380637.075,5990127.3,11317244.2585028,19258,0,0,6609472,11336503,"inland",14145,51.60732409,-0.649361394,9.572060154,"england",11336502.2585028
"Bearsden",1351673.858,3801.004488,307154.6101,1664539.021,4587.535914,0,0,0,0,55348.20416,0,1300.344479,0,621.2593193,0,0,0,0,0,356779.654,8587841.359,12333646.8504603,160312,0,0,8755552,12493959,"inland",28500,55.91962032,-4.330157049,9.386402409,"scotland",12493958.8504603
"Bebington",2329738.89,0,1097970.064,1120269.832,3656839.627,0,0,0,0,0,2501.733092,0,0,7306.085745,0,69825.21043,0,846798.1722,187084.3625,4088633.949,13052989.59,26459957.515967,267776,8222,315,17799168,26703156,"estuarine",57600,53.34098822,-2.999733447,5.950517791,"england",26736270.515967
"Bedford",1477632.719,66472.11609,2928217.173,7248167.413,0,731.6887122,3488.681357,1930.576681,0,0,0,0,0,303663.6705,0,0,0,0,0,4870723.424,15392682.67,32293710.1323402,881430,0,0,22356690,33175140,"inland",97235,52.13925438,-0.459520524,5.456187204,"england",33175140.1323402
"Bedworth",402555.8327,11108.51422,1214532.054,2099200.641,25611.63278,0,0,13744.00908,0,0,0,0,0,92366.93367,0,0,0,0,0,2016841.418,5349363.855,11225324.89045,166483,0,0,7041023,11391808,"inland",31090,52.47318391,-1.487109134,4.09950314,"england",11391807.89045
"Beeston (Broxtowe)",1198592.147,28825.69521,1044943.186,2670851.042,500.3674514,100.0736399,0,7002.734054,0,11195.7932,0,0,0,94808.90261,0,0,0,0,0,2255143.67,11774621.26,19086584.8711653,563887,0,0,13467356,19650472,"inland",52355,52.9233948,-1.235332074,7.932639641,"england",19650471.8711653
"Bellshill",1355869.179,0,997781.8668,849038.6873,3791.266564,0,0,0,0,2828.787321,3275.333162,0,0,3044.97655883,0,0,0,0,0,1626159.733,5867951.532,10709741.3617058,75230,0,0,7197276,10782020,"inland",19530,55.8197929,-4.024485462,5.213028175,"scotland",10784971.3617058
"Beverley",129714.5211,0,1565314.741,2651234.989,50683.38594,3865.121381,400.216396,317.9760802,300.1630407,500.2709143,0,78152.53519,0,10050.50649,0,0,0,0,0,910688.42,6963415.821,12364638.6675322,56734,5102,21055,8310689,12447530,"inland",30930,53.84295536,-0.42823197,8.093893105,"england",12447529.6675322
"Bexhill-on-Sea",1263742.328,11987.70838,662091.8784,3033892.491,200.0062964,162949.8319,0,192952.1845,0,0,0,0,0,3981.501186,0,456762.2758,0,669715.7848,3717.431769,1796000.969,9778777.817,18036772.2080314,87879,45505,298871,12295732,18468927,"coastal",43755,50.84872239,0.447225827,5.852159333,"england",18469027.2080314
